gss_code,match_name,gss_name,goog_name,region_name,mappings,population
E06000001,Hartlepool,Hartlepool,Hartlepool,North East and Yorkshire,1,93242
E06000002,Middlesbrough,Middlesbrough,Middlesbrough,North East and Yorkshire,1,140545
E06000003,Redcar and Cleveland,Redcar and Cleveland,Redcar and Cleveland,North East and Yorkshire,1,136718
E06000004,Stockton-on-Tees,Stockton-on-Tees,Stockton-on-Tees,North East and Yorkshire,1,197213
E06000005,Darlington,Darlington,Darlington,North East and Yorkshire,1,106566
E06000006,Halton,Halton,Borough of Halton,North West,1,128432
E06000007,Warrington,Warrington,Warrington,North West,1,209547
E06000008,Blackburn with Darwen,Blackburn with Darwen,Blackburn with Darwen,North West,1,148942
E06000009,Blackpool,Blackpool,Blackpool,North West,1,139305
E06000010,Kingston upon Hull,"Kingston upon Hull, City of",Kingston upon Hull,North East and Yorkshire,1,260645
E06000011,East Riding of Yorkshire,East Riding of Yorkshire,East Riding of Yorkshire,North East and Yorkshire,1,339614
E06000012,North East Lincolnshire,North East Lincolnshire,North East Lincolnshire,North East and Yorkshire,1,159821
E06000013,North Lincolnshire,North Lincolnshire,North Lincolnshire,North East and Yorkshire,1,172005
E06000014,York,York,York,North East and Yorkshire,1,209893
E06000015,Derby,Derby,Derby,Midlands,1,257174
E06000016,Leicester,Leicester,Leicester,Midlands,1,355218
E06000017,Rutland,Rutland,Rutland,Midlands,1,39697
E06000018,Nottingham,Nottingham,Nottingham,Midlands,1,331069
E06000019,Herefordshire,"Herefordshire, County of",Herefordshire,Midlands,1,192107
E06000021,Stoke-on-Trent,Stoke-on-Trent,Stoke-on-Trent,Midlands,1,255833
E06000022,Bath and North East Somerset,Bath and North East Somerset,Bath and North East Somerset,South West,1,192106
E06000023,Bristol,"Bristol, City of",Bristol,South West,1,463405
E06000024,North Somerset,North Somerset,North Somerset,South West,1,213919
E06000025,South Gloucestershire,South Gloucestershire,South Gloucestershire,South West,1,282644
E06000026,Plymouth,Plymouth,Plymouth,South West,1,263100
E06000027,Torbay,Torbay,Torbay,South West,1,135780
E06000030,Swindon,Swindon,Swindon,South West,1,221996
E06000031,Peterborough,Peterborough,Peterborough,East of England,1,201041
E06000032,Luton,Luton,Luton,East of England,1,214109
E06000033,Southend-on-Sea,Southend-on-Sea,Southend-on-Sea,East of England,1,182463
E06000034,Thurrock,Thurrock,Thurrock,East of England,1,172525
E06000035,Medway,Medway,Medway,South East,1,277855
E06000036,Bracknell Forest,Bracknell Forest,Bracknell Forest,South East,1,121676
E06000037,West Berkshire,West Berkshire,West Berkshire,South East,1,158527
E06000038,Reading,Reading,Reading,South East,1,163203
E06000039,Slough,Slough,Slough,South East,1,149112
E06000040,Windsor and Maidenhead,Windsor and Maidenhead,Windsor and Maidenhead,South East,1,150906
E06000041,Wokingham,Wokingham,Wokingham,South East,1,167979
E06000042,Milton Keynes,Milton Keynes,Milton Keynes,East of England,1,268607
E06000043,Brighton and Hove,Brighton and Hove,Brighton and Hove,South East,1,290395
E06000044,Portsmouth,Portsmouth,Portsmouth,South East,1,215133
E06000045,Southampton,Southampton,Southampton,South East,1,252796
E06000046,Isle of Wight,Isle of Wight,Isle of Wight,South East,1,141538
E06000047,County Durham,County Durham,County Durham,North East and Yorkshire,1,526980
E06000049,Cheshire East,Cheshire East,Cheshire East,North West,1,380790
E06000050,Cheshire West and Chester,Cheshire West and Chester,Cheshire West and Chester,North West,1,340502
E06000051,Shropshire,Shropshire,Shropshire,Midlands,1,320274
E06000052,Cornwall,Cornwall,Cornwall,South West,1,565968
E06000054,Wiltshire,Wiltshire,Wiltshire,South West,1,498064
E06000055,Bedford,Bedford,Bedford,East of England,1,171623
E06000056,Central Bedfordshire,Central Bedfordshire,Central Bedfordshire,East of England,1,283606
E06000057,Northumberland,Northumberland,Northumberland,North East and Yorkshire,1,320274
E06000059,Dorset,Dorset,Dorset,South West,1,376484
E10000002,Buckinghamshire,Buckinghamshire,Buckinghamshire,South East,1,540059
E10000003,Cambridgeshire,Cambridgeshire,Cambridgeshire,East of England,1,651482
E10000006,Cumbria,Cumbria,Cumbria,North East and Yorkshire,2,498888
E10000006,Cumbria,Cumbria,Cumbria,North West,2,498888
E10000007,Derbyshire,Derbyshire,Derbyshire,North West,2,796142
E10000007,Derbyshire,Derbyshire,Derbyshire,Midlands,2,796142
E10000008,Devon,Devon,Devon,South West,1,795286
E10000011,East Sussex,East Sussex,East Sussex,South East,1,554590
E10000012,Essex,Essex,Essex,East of England,1,1477764
E10000013,Gloucestershire,Gloucestershire,Gloucestershire,South West,1,633558
E10000014,Hampshire,Hampshire,Hampshire,South East,1,1376316
E10000015,Hertfordshire,Hertfordshire,Hertfordshire,East of England,1,1184365
E10000016,Kent,Kent,Kent,South East,1,1568623
E10000017,Lancashire,Lancashire,Lancashire,North West,1,1210053
E10000018,Leicestershire,Leicestershire,Leicestershire,Midlands,1,698268
E10000019,Lincolnshire,Lincolnshire,Lincolnshire,Midlands,1,755833
E10000020,Norfolk,Norfolk,Norfolk,East of England,1,903680
E10000021,Northamptonshire,Northamptonshire,Northamptonshire,East of England,2,747622
E10000021,Northamptonshire,Northamptonshire,Northamptonshire,Midlands,2,747622
