ladcd,date,tier,reg1,reg2
E06000049,2020-10-14,2,Cheshire,Cheshire East
E06000050,2020-10-14,2,Cheshire,Cheshire West and Chester
E06000007,2020-10-14,2,Cheshire,Warrington
E07000037,2020-10-14,2,Derbyshire,parts of High Peak
E06000047,2020-10-14,2,Durham,Durham
E08000001,2020-10-14,2,Greater Manchester,Bolton
E08000002,2020-10-14,2,Greater Manchester,Bury
E08000003,2020-10-14,2,Greater Manchester,Manchester
E08000004,2020-10-14,2,Greater Manchester,Oldham
E08000005,2020-10-14,2,Greater Manchester,Rochdale
E08000006,2020-10-14,2,Greater Manchester,Salford
E08000007,2020-10-14,2,Greater Manchester,Stockport
E08000008,2020-10-14,2,Greater Manchester,Tameside
E08000009,2020-10-14,2,Greater Manchester,Trafford
E08000010,2020-10-14,2,Greater Manchester,Wigan
E06000016,2020-10-14,2,Leicestershire,Leicester
E07000135,2020-10-14,2,Leicestershire,Oadby and Wigston
E06000057,2020-10-14,2,Northumberland,Northumberland
E07000170,2020-10-14,2,Nottinghamshire,Ashfield
E07000171,2020-10-14,2,Nottinghamshire,Bassetlaw
E07000172,2020-10-14,2,Nottinghamshire,Broxtowe
E07000173,2020-10-14,2,Nottinghamshire,Gedling
E07000174,2020-10-14,2,Nottinghamshire,Mansfield
E07000175,2020-10-14,2,Nottinghamshire,Newark & Sherwood
E06000018,2020-10-14,2,Nottinghamshire,Nottingham
E07000176,2020-10-14,2,Nottinghamshire,Rushcliffe
E08000016,2020-10-14,2,South Yorkshire,Barnsley
E08000017,2020-10-14,2,South Yorkshire,Doncaster
E08000018,2020-10-14,2,South Yorkshire,Rotherham
E08000019,2020-10-14,2,South Yorkshire,Sheffield
E06000005,2020-10-14,2,Tees Valley,Darlington
E06000001,2020-10-14,2,Tees Valley,Hartlepool
E06000002,2020-10-14,2,Tees Valley,Middlesbrough
E06000003,2020-10-14,2,Tees Valley,Redcar and Cleveland
E06000004,2020-10-14,2,Tees Valley,Stockton-on-Tees
E08000037,2020-10-14,2,Tyne and Wear,Gateshead
E08000021,2020-10-14,2,Tyne and Wear,Newcastle
E08000022,2020-10-14,2,Tyne and Wear,North Tyneside
E08000023,2020-10-14,2,Tyne and Wear,South Tyneside
E08000024,2020-10-14,2,Tyne and Wear,Sunderland
E08000025,2020-10-14,2,West Midlands,Birmingham
E08000028,2020-10-14,2,West Midlands,Sandwell
E08000029,2020-10-14,2,West Midlands,Solihull
E08000031,2020-10-14,2,West Midlands,Wolverhampton
E08000030,2020-10-14,2,West Midlands,Walsall
E08000032,2020-10-14,2,West Yorkshire,Bradford
E08000033,2020-10-14,2,West Yorkshire,Calderdale
E08000034,2020-10-14,2,West Yorkshire,Kirklees
E08000035,2020-10-14,2,West Yorkshire,Leeds
E08000036,2020-10-14,2,West Yorkshire,Wakefield.
E07000027,2020-10-17,2,Cumbria,Barrow-in-Furness
E07000034,2020-10-17,2,Derbyshire,Chesterfield
E07000036,2020-10-17,2,Derbyshire,Erewash
E07000038,2020-10-17,2,Derbyshire,North East Derbyshire
E07000066,2020-10-17,2,Essex,Basildon
E07000067,2020-10-17,2,Essex,Braintree
E07000068,2020-10-17,2,Essex,Brentwood
E07000069,2020-10-17,2,Essex,Castle Point
E07000070,2020-10-17,2,Essex,Chelmsford
E07000071,2020-10-17,2,Essex,Colchester
E07000072,2020-10-17,2,Essex,Epping Forest
E07000073,2020-10-17,2,Essex,Harlow
